run_id,dataset,encoder,method,finetune,seed,acc,macro_f1,accuracy,weighted_f1,precision,recall,f1_Abnormal,f1_Drinking,f1_Eating,f1_Grooming,f1_Lying,f1_Oral manipulation of pen,f1_Play,f1_Rising,f1_Rumination,f1_Run,f1_SRS,f1_Sniff,f1_Social Interaction,f1_Standing,f1_Urination,f1_Walking
actbecalf_mae_ptst,actbecalf_windowed,patchtst,mae,freeze,2026,0.5225,0.2569658140543081,0.522543352601156,0.56653705726548,0.26479880886987284,0.3127180013468408,0.008733624454148471,0.5376860297647623,0.22737642585551332,0.4106666666666667,0.8324285197249367,0.24295774647887325,0.10989010989010989,0.03896103896103896,0.0,0.8,0.0,0.3107159569489939,0.08370044052863436,0.20582986317668056,0.010471204188481676,0.2920353982300885
actbecalf_simclr_cnn,actbecalf_windowed,cnn_tfc,simclr,freeze,2026,0.3626,0.19827917931267242,0.3626204238921002,0.4192933612127495,0.21137665333337255,0.24434766016801135,0.007259528130671506,0.23523854511100614,0.11451135241855874,0.12121212121212122,0.6951044947036931,0.0703125,0.4444444444444444,0.1,0.0,0.949685534591195,0.1457725947521866,0.10896309314586995,0.030222222222222223,0.04636459430979979,0.04961240310077519,0.053763440860215055
actbecalf_simclr_cnn_full,actbecalf_windowed,cnn_tfc,simclr,full,2026,0.4308,0.25298073765150475,0.43082851637764935,0.48461583570416306,0.25557682915008395,0.3145189424822128,0.0,0.28032979976442873,0.1813819577735125,0.32456703014753047,0.7283599647093422,0.19899244332493704,0.26635514018691586,0.21621621621621623,0.0,0.9273021001615509,0.1271860095389507,0.23393739703459637,0.0282574568288854,0.2495049504950495,0.021052631578947368,0.26424870466321243
actbecalf_sup_cnn,actbecalf_windowed,cnn_tfc,supervised,full,2026,0.4819,0.3017172214253081,0.4819267822736031,0.5280093240533975,0.30233524560625413,0.36384302760814985,0.017094017094017096,0.32941176470588235,0.24649204864359214,0.4416159380188157,0.7555896746953268,0.22035928143712574,0.3219814241486068,0.23728813559322035,0.0,0.93354943273906,0.1645021645021645,0.26973684210526316,0.05194805194805195,0.28785261945883706,0.06584362139917696,0.4842105263157895
actbecalf_sup_pmix,actbecalf_windowed,patchtsmixer,supervised,full,2026,0.5398,0.2691748666637237,0.5398073217726397,0.5919359967731578,0.2807478431742678,0.30719370691165016,0.007575757575757576,0.531009738595592,0.3249821045096636,0.4488734835355286,0.8485228290062667,0.24202898550724639,0.10554089709762533,0.08,0.0,0.8055555555555556,0.013761467889908258,0.25668449197860965,0.06570841889117043,0.2731411229135053,0.01303780964797914,0.2903752039151713
actbecalf_sup_ptst,actbecalf_windowed,patchtst,supervised,full,2026,0.4876,0.24227260493672148,0.4875529865125241,0.5510192925449051,0.2603429476508749,0.279139447944568,0.0,0.38154613466334164,0.32853223593964337,0.3342222222222222,0.8043681164831062,0.21061224489795918,0.14432989690721648,0.06542056074766354,0.0,0.7001254705144291,0.007561436672967864,0.2602832097100472,0.058823529411764705,0.2982216142270862,0.007978723404255319,0.2743362831858407
actbecalf_sup_resnet,actbecalf_windowed,resnet1d,supervised,full,2026,0.4815,0.2885424727272746,0.48146435452793834,0.5309627477006409,0.2902843423081866,0.3547084931733797,0.022598870056497175,0.35714285714285715,0.1906429822366775,0.4457627118644068,0.7791022536785248,0.19076005961251863,0.23809523809523808,0.18556701030927836,0.0,0.9580093312597201,0.09651474530831099,0.2427664079040226,0.036968576709796676,0.28229166666666666,0.030456852791878174,0.56
actbecalf_tfc_cnn,actbecalf_windowed,cnn_tfc,tfc,freeze,2026,0.4406,0.28161468663801004,0.44061657032755297,0.49671067670572305,0.2841147389715282,0.34689187477437106,0.0,0.2822491730981257,0.22381224957069262,0.2897765741367637,0.7270050063806812,0.21279761904761904,0.43333333333333335,0.2153846153846154,0.0,0.930921052631579,0.20987654320987653,0.3338192419825073,0.04854368932038835,0.23687150837988827,0.06732673267326733,0.29411764705882354
actbecalf_tstcc_cnn,actbecalf_windowed,cnn_tfc,tstcc,full,2026,0.3844,0.22254395588662018,0.3844315992292871,0.4572274746457681,0.24039176247285066,0.3021744171544464,0.005089058524173028,0.2006269592476489,0.2580275229357798,0.23798965262379895,0.6864739651525833,0.19508196721311474,0.24166666666666667,0.0784313725490196,0.0,0.9341894060995185,0.09540636042402827,0.19659735349716445,0.014141414141414142,0.1869031377899045,0.04697986577181208,0.18309859154929578
actbecalf_tstcc_cnn_freeze,actbecalf_windowed,cnn_tfc,tstcc,freeze,2026,0.3191,0.19758434212752282,0.3190751445086705,0.38981618036838667,0.2130835131471006,0.2737160882048701,0.005952380952380952,0.21671826625386997,0.16937053861129137,0.08271108558299828,0.6161167512690355,0.11232449297971919,0.4083333333333333,0.12030075187969924,0.0,0.9619047619047619,0.08333333333333333,0.13011542497376705,0.03463203463203463,0.04749787955894826,0.029310344827586206,0.14272809394760613
